dt,token_symbol,total_supply
2024-11-01 00:00:00.000 UTC,rsETH,229166.87666484746
2024-11-02 00:00:00.000 UTC,rsETH,228304.45618057725
2024-11-03 00:00:00.000 UTC,rsETH,227505.34183754455
2024-11-04 00:00:00.000 UTC,rsETH,226712.41426003707
2024-11-05 00:00:00.000 UTC,rsETH,226707.764553262
2024-11-06 00:00:00.000 UTC,rsETH,225870.1351356619
2024-11-07 00:00:00.000 UTC,rsETH,225881.64213808268
2024-11-08 00:00:00.000 UTC,rsETH,227104.64930676515
2024-11-09 00:00:00.000 UTC,rsETH,226152.51999915836
2024-11-10 00:00:00.000 UTC,rsETH,226004.9063394075
2024-11-11 00:00:00.000 UTC,rsETH,225864.52510119957
2024-11-12 00:00:00.000 UTC,rsETH,225864.87853958114
2024-11-13 00:00:00.000 UTC,rsETH,222543.23419363145
2024-11-14 00:00:00.000 UTC,rsETH,220954.71009932875
2024-11-15 00:00:00.000 UTC,rsETH,220065.76420500074
2024-11-16 00:00:00.000 UTC,rsETH,219832.4942450053
2024-11-17 00:00:00.000 UTC,rsETH,219453.1749273831
2024-11-18 00:00:00.000 UTC,rsETH,219455.65636960775
2024-11-19 00:00:00.000 UTC,rsETH,218911.7241379359
2024-11-20 00:00:00.000 UTC,rsETH,218943.80834033017
2024-11-21 00:00:00.000 UTC,rsETH,238443.92101183155
2024-11-22 00:00:00.000 UTC,rsETH,256285.78677032545
2024-11-23 00:00:00.000 UTC,rsETH,255692.0464022789
2024-11-24 00:00:00.000 UTC,rsETH,255684.63199244477
2024-11-25 00:00:00.000 UTC,rsETH,244822.9037224478
2024-11-26 00:00:00.000 UTC,rsETH,277169.23682099243
2024-11-27 00:00:00.000 UTC,rsETH,276915.78657085815
2024-11-28 00:00:00.000 UTC,rsETH,282057.6213027757
2024-11-29 00:00:00.000 UTC,rsETH,333430.6777225186
2024-11-30 00:00:00.000 UTC,rsETH,352217.46316209884
2024-12-01 00:00:00.000 UTC,rsETH,351288.48999802314
2024-12-02 00:00:00.000 UTC,rsETH,350813.8675241112
2024-12-03 00:00:00.000 UTC,rsETH,408873.7301736839
2024-12-04 00:00:00.000 UTC,rsETH,407820.1836122003
2024-12-05 00:00:00.000 UTC,rsETH,406963.5608088397
